"EDA 21 .Understand the distribution of reservation statuses and calculate summary statistics for reservation
status dates.",,,,,,,
02-05-2016,Check-Out,,,,,,
04-11-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
30-04-2016,No-Show,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
02-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
03-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
22-06-2016,Check-Out,,,,,,
23-11-2016,Check-Out,,,,,,
06-02-2017,Canceled,,,,,,
12-07-2017,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
26-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
03-06-2016,Check-Out,,,,,,
22-06-2016,Check-Out,,,,,,
13-07-2016,Check-Out,,,,,,
19-08-2016,Check-Out,,,,,,
30-09-2016,Check-Out,,,,,,
14-06-2017,Check-Out,,,,,,
14-07-2017,Check-Out,,,,,,
25-08-2017,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
23-07-2017,Check-Out,,,,,,
04-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
21-06-2016,Check-Out,,,,,,
26-06-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
05-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
21-06-2016,Check-Out,,,,,,
26-06-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
06-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
07-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
12-03-2017,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
12-03-2017,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
12-06-2016,Check-Out,,,,,,
12-03-2017,Check-Out,,,,,,
12-03-2017,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
04-02-2017,Check-Out,,,,,,
12-03-2017,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
08-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
09-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
14-10-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
22-02-2017,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
10-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
11-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
06-10-2016,Check-Out,,,,,,
11-05-2017,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
01-07-2016,Check-Out,,,,,,
15-03-2017,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
09-10-2016,Check-Out,,,,,,
26-02-2017,Check-Out,,,,,,
29-04-2017,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
12-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
13-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
14-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-01-2017,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
06-10-2016,Check-Out,,,,,,
09-10-2016,Check-Out,,,,,,
23-10-2016,Check-Out,,,,,,
24-10-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
15-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
09-10-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
27-05-2016,Check-Out,,,,,,
16-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
28-06-2016,Check-Out,,,,,,
29-06-2016,Check-Out,,,,,,
09-03-2017,Check-Out,,,,,,
07-04-2017,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
28-10-2016,Check-Out,,,,,,
25-05-2017,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
17-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
06-04-2017,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
18-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
25-11-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
19-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
29-11-2016,Check-Out,,,,,,
30-05-2017,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
15-12-2016,Check-Out,,,,,,
24-01-2017,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
04-07-2017,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
20-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
21-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
22-05-2016,Check-Out,,,,,,
